a#arrogant	arrogant	a	00339288 01889819
a#arronyonat	arronyonat	a	02170546
a#arrossegat	arrossegat	a	01243722
a#arrugat	arrugat	a	00990442
a#arruïnat	arruïnat	a	02023287 01451402
a#arterial	arterial	a	02641856
a#arterós	arterós	a	02466382
a#artesanal	artesanal	a	00673456
a#artesià	artesià	a	00098933
a#articulat	articulat	a	00153410 00153545 00150202
a#artificial	artificial	a	00073048 01680417 01573238 00073465 01571363
a#artificiós	artificiós	a	00073048
a#artrític	artrític	a	01173795
a#artístic	artístic	a	02393086 00069948
a#aràbic	aràbic	a	03044566 03044462
a#ascendent	ascendent	a	02484638 02484208
a#ascendible	ascendible	a	02083391
a#ascètic	ascètic	a	00009618
a#asexual	asexual	a	02135913
a#asfixiador	asfixiador	a	00268273
a#asfixiant	asfixiant	a	00268383 00268273
a#asfàltic	asfàltic	a	02598494
a#asidu	asidu	a	01067003
a#asimptomàtic	asimptomàtic	a	02540899
a#asimptòtic	asimptòtic	a	02929071
a#asimètric	asimètric	a	02373599
a#asiàtic	asiàtic	a	00825807
a#asmàtic	asmàtic	a	01174048
a#aspirant	aspirant	a	01157179 00104533
a#aspre	aspre	a	00299476 01142595 01802165 00299690 02241247 02238462
a#asquerós	asquerós	a	00421590
a#assalariat	assalariat	a	01708898
a#assassinat	assassinat	a	00097906
a#assassí	assassí	a	00248251
a#assedegat	assedegat	a	02554140
a#assenyat	assenyat	a	00191265
a#assequible	assequible	a	00019505
a#assertiu	assertiu	a	00156101
a#assessor	assessor	a	01304802
a#assignable	assignable	a	00093556
a#assimilatiu	assimilatiu	a	00006885
a#assimilatori	assimilatori	a	00006885
a#associable	associable	a	00157659
a#associat	associat	a	00793426
a#associatiu	associatiu	a	00157389
a#assolador	assolador	a	00588425
a#assolellat	assolellat	a	00272771
a#assolidor	assolidor	a	01822153
a#assortit	assortit	a	01199083
a#assossegat	assossegat	a	00302951 01272176
a#assumit	assumit	a	00942163
a#astilar	astilar	a	00141647
a#astringent	astringent	a	00189580 02369027
a#astrofísic	astrofísic	a	02907798
a#astronòmic	astronòmic	a	01383582
a#astut	astut	a	02466734 00148078 00438909 00147734 01307690
a#asèptic	asèptic	a	02115759
a#asíncron	asíncron	a	02379595
a#atapeït	atapeït	a	01655538 01084297
a#ataronjat	ataronjat	a	00378892
a#ataràctic	ataràctic	a	02308472
a#atent	atent	a	00021110 00091764 00639230 00020787 00638981 00164308 00163592 00162661
a#atenuat	atenuat	a	02000406
a#aterridor	aterridor	a	00196449 00194924
a#aterrit	aterrit	a	00079786 00080981 00080357 00078576
a#atlètic	atlètic	a	00032497
a#atmosfèric	atmosfèric	a	02831736
a#atontat	atontat	a	00875962
a#atordit	atordit	a	00437223 00875962 00435492
a#atractiu	atractiu	a	01358363 00168694 00218950 00167829 00168910 00166146
a#atrafegat	atrafegat	a	00086210 00292937 00035868
a#atraient	atraient	a	01358363 00167077 00169955 00167829
a#atrassat	atrassat	a	01901082
a#atrevit	atrevit	a	02306874 00204491 00339288 00104699 00609564 00249721 02279622
a#atribuïble	atribuïble	a	00171590
a#atroç	atroç	a	00193480 00580039 01626562 01126291 01263013
a#aturat	aturat	a	00294175 00295507 00037188 00440579
a#atuït	atuït	a	00437223
a#atzarós	atzarós	a	00341655
a#atès	atès	a	00308488
a#atípic	atípic	a	01596809 02469928
a#atòmic	atòmic	a	00610532
a#atònit	atònit	a	00071897
a#audaç	audaç	a	00249721 00250119 00066146
a#audible	audible	a	00173764
a#auri	auri	a	00369941
a#auster	auster	a	01137378 00009618 01802932
a#australià	australià	a	03045750
a#austríac	austríac	a	02961099
a#autoadhesiu	autoadhesiu	a	00054541
a#autogen	autogen	a	00181030
a#autogenerat	autogenerat	a	00181162
a#automatitzat	automatitzat	a	00182086
a#automàtic	automàtic	a	00181476 01499999 02522669
a#autonòmic	autonòmic	a	02522938 01062393
a#autoproclamat	autoproclamat	a	00179676
a#autoritari	autoritari	a	00787357 01539887
a#autoritzat	autoritzat	a	00178811 00427644 01958259 01632808 00178575
a#autèntic	autèntic	a	01115920 01115635 01115349 02460964 02469577 02465115
a#autòcton	autòcton	a	00180359 01036383
a#autònom	autònom	a	00863823 01062393
a#auxiliar	auxiliar	a	01854129 02354897
a#avantatjós	avantatjós	a	00064479
a#avançat	avançat	a	01876261 01208738 00819526 01211296 00972902 01840121 00816839 00198383
a#avar	avar	a	01112573 01113505 00029933
a#avariat	avariat	a	01092371
a#avariciós	avariciós	a	01112573 01113505 00029933
a#aventurer	aventurer	a	00065791
a#avergonyit	avergonyit	a	00154837 00531628 00153898 00154270
a#avorrit	avorrit	a	01345307 01673590 00165766
a#avortat	avortat	a	01082714
a#avortiu	avortiu	a	00322844
a#avuncular	avuncular	a	02654652
a#axil·lar	axil·lar	a	02655180
a#aïllant	aïllant	a	00111604
a#aïllat	aïllat	a	02250691 01859055 00594267 00567860
a#aïrat	aïrat	a	00116245
a#baccívor	baccívor	a	00314390
a#bactericida	bactericida	a	02116054
a#bacterià	bacterià	a	02833544
a#bai	bai	a	00395977 00384099
a#baix	baix	a	01212469 00904745 02492719 01215421 01133017 00683531 01206474 01207546 01455888 02336904 01893303 02386612
a#baladrer	baladrer	a	01920367
a#baldat	baldat	a	02434473
a#banyar	banyar	a	01699095
a#barbamec	barbamec	a	00211092
a#barbut	barbut	a	00217075
a#barrejat	barrejat	a	01329138
a#barroer	barroer	a	00312519
a#baríton	baríton	a	01215797
a#basificar	basificar	a	00026294
a#bast	bast	a	01950198 01949859 01950857
a#bastant	bastant	a	02336109
a#bastard	bastard	a	01407909
a#beatificat	beatificat	a	00179190
a#begut	begut	a	00798491
a#beguí	beguí	a	01782100
a#beix	beix	a	00370501
a#belga	belga	a	02960507
a#bell	bell	a	00217728 00218305
a#bel·licorós	bel·licorós	a	01742715
a#bel·licós	bel·licós	a	01742715 00082766
a#bel·líger	bel·líger	a	01742715
a#ben_definits	ben_definits	a	00779819
a#ben_educat	ben_educat	a	01949059
a#ben_fet	ben_fet	a	00511037
a#benedictí	benedictí	a	03047501
a#benefactor	benefactor	a	00223802 00359645
